customer_id,segment,province_city
1473606,Regular,HA NOI
1193019,Regular,DA NANG
1098614,Regular,HO CHI MINH
1328536,Regular,HA NOI
1117836,Regular,HO CHI MINH
3040230,Regular,HA NOI
118479,Regular,HA NOI
2592701,Regular,HA NOI
2434326,Regular,THANH HOA
2580681,Regular,HA NOI
1202671,Silver,HO CHI MINH
2973367,Regular,HA NOI
1312623,Regular,DA NANG
4050823,Regular,HA NOI
2014611,Regular,BINH DUONG
2293639,Regular,HAI PHONG
1227864,Regular,HA NOI
2552169,Regular,HA NOI
3793022,Regular,HO CHI MINH
1289577,Regular,HO CHI MINH
1049672,Regular,HA NOI
242669,Regular,HO CHI MINH
2966914,Regular,No Info
1190717,Regular,HO CHI MINH
1333423,Regular,HO CHI MINH
3861819,Regular,HO CHI MINH
2504187,Silver,HO CHI MINH
14113,Regular,HO CHI MINH
2778626,Regular,HA NOI
1511521,Regular,VINH LONG
2282369,Regular,HAI DUONG
1392606,Silver,HA NOI
2467731,Regular,HA NOI
231632,Silver,HO CHI MINH
1109747,Regular,HO CHI MINH
1054256,Silver,HO CHI MINH
1373189,Regular,QUANG BINH
1270728,Regular,HA NOI
1384571,Regular,HOA BINH
1110913,Regular,HO CHI MINH
2242584,Regular,HA NOI
2499754,Regular,HO CHI MINH
4291021,Regular,HO CHI MINH
22924,Regular,HO CHI MINH
1216278,Regular,HO CHI MINH
2535311,Regular,HAI DUONG
2285018,Regular,HA NOI
236806,Gold,HO CHI MINH
231787,Regular,HO CHI MINH
1393119,Regular,HA NOI
124433,Silver,HAI PHONG
1247244,Regular,HA NOI
1094329,Regular,HO CHI MINH
1009194,Silver,HO CHI MINH
2463320,Regular,HA NOI
1296017,Regular,HA NOI
1462091,Regular,HO CHI MINH
2204443,Regular,HO CHI MINH
441655,Regular,THUA THIEN HUE
3817780,Regular,NAM DINH
3833821,Regular,BINH DINH
2232257,Regular,AN GIANG
3929695,Silver,HO CHI MINH
3886886,Silver,HA NOI
2510895,Regular,DONG NAI
2542948,Regular,HA NOI
1159938,Regular,HO CHI MINH
2350841,Regular,HA NOI
1370321,Regular,HA NOI
2230363,Silver,HA NOI
4096964,Regular,HA NOI
3877010,Regular,PHU THO
4370811,Regular,CAN THO
1213317,Silver,HO CHI MINH
1448289,Regular,HA NOI
1241751,Regular,HA NOI
2268003,Regular,HA NOI
3125315,Regular,VINH PHUC
2528799,Regular,HO CHI MINH
1233837,Regular,HO CHI MINH
2231293,Regular,HA NOI
2432290,Regular,QUANG NINH
4285885,Regular,HA NOI
3115046,Silver,HA NOI
2617886,Regular,HA NOI
2266147,Regular,HO CHI MINH
4565305,Regular,BAC GIANG
1394288,Regular,HA NOI
1223720,Regular,HO CHI MINH
2514877,Regular,HO CHI MINH
1051788,Regular,HA NOI
3915991,Regular,THAI BINH
4086113,Regular,No Info
2206632,Silver,HA NOI
1124361,Regular,HO CHI MINH
1065410,Regular,HA NOI
3923570,Regular,No Info
4291053,Regular,CAN THO
4161126,Regular,HA NOI
2877667,Regular,NAM DINH
2378344,Regular,THUA THIEN HUE
1357059,Regular,THANH HOA
1190881,Regular,HO CHI MINH
3929906,Regular,HO CHI MINH
2154474,Regular,HA NOI
1087234,Regular,HA NOI
1325796,Silver,HO CHI MINH
2544580,Regular,AN GIANG
2249952,Regular,HA NOI
1006803,Regular,HO CHI MINH
2554206,Regular,HA NOI
237652,Regular,HAI PHONG
2668715,Regular,HA NOI
4063303,Regular,No Info
1195616,Regular,HO CHI MINH
2317449,Regular,HA NOI
2339632,Regular,HA NOI
2318291,Regular,HA NOI
1416358,Regular,THAI BINH
2202256,Silver,HA NOI
2357978,Regular,THUA THIEN HUE
10709,Regular,HO CHI MINH
1460733,Regular,HA NOI
1405764,Regular,HA NOI
2293478,Regular,HO CHI MINH
1723142,Regular,HA NOI
4403751,Regular,KIEN GIANG
2342283,Regular,HO CHI MINH
3163607,Regular,DONG NAI
2500789,Regular,HA NOI
2011159,Silver,HA NOI
1289647,Silver,HO CHI MINH
1207743,Regular,HA NOI
2468801,Regular,HA NOI
1000886,Regular,THANH HOA
1339101,Regular,HA NOI
1143923,Gold,HO CHI MINH
2450805,Silver,HO CHI MINH
2778932,Regular,THANH HOA
1180572,Regular,BINH DUONG
1378324,Silver,VINH PHUC
1026217,Regular,HO CHI MINH
4082479,Regular,HA NOI
2479353,Regular,DA NANG
2009049,Regular,NHA TRANG
130246,Regular,DA NANG
2494339,Regular,HOA BINH
1137286,Regular,HA NOI
1351497,Regular,HA NOI
3897481,Regular,HAI DUONG
398359,Regular,DA NANG
1429241,Regular,HAI PHONG
1058378,Regular,HA NOI
1025214,Gold,HO CHI MINH
2205712,Regular,HA NOI
1041127,Regular,HO CHI MINH
4590760,Regular,BINH DUONG
1227229,Regular,BINH DINH
4058687,Regular,BINH DINH
3781775,Regular,HO CHI MINH
2341110,Regular,HA NOI
1381930,Regular,HA NOI
3833562,Regular,DONG NAI
2356331,Regular,THANH HOA
1121191,Regular,HAI PHONG
2396355,Regular,THUA THIEN HUE
3914058,Gold,HO CHI MINH
1261368,Regular,HO CHI MINH
1294366,Regular,HA NOI
1955143,Silver,VINH PHUC
2542715,Regular,HA NOI
2417892,Regular,HA NOI
3825356,Silver,HA NOI
1213195,Regular,HA NOI
1347925,Silver,HO CHI MINH
2252563,Regular,BAC NINH
2336529,Regular,NGHE AN
250067,Gold,HAI PHONG
1913477,Regular,HA NOI
2389247,Regular,QUANG NINH
3186073,Regular,VINH PHUC
