customer_id,prod_ca,prod_td,prod_credit_card
2567492,1,0,0
2533466,1,0,0
2299166,1,0,0
1010033,1,0,0
2283422,1,0,0
1226401,1,0,0
2558987,1,0,1
1226109,1,0,1
1201972,1,0,0
1326362,1,0,0
1345094,1,0,0
2256282,0,0,1
2097144,1,0,0
113657,1,1,0
1393119,1,0,0
1803078,1,0,0
3898441,1,0,1
3986390,1,0,0
13387,0,1,0
3803801,1,0,0
2256062,1,0,0
3896369,1,1,0
1158022,1,0,0
1123826,1,0,0
4027983,1,1,1
135496,1,0,1
2168694,1,0,0
1080150,1,0,0
1218635,1,0,0
3784766,1,0,0
253441,0,1,0
2068366,1,0,0
1436514,1,0,0
1839842,1,0,0
1023191,1,0,0
2283673,1,0,0
139813,1,0,0
2278793,1,0,1
1158509,1,0,0
3897481,1,0,0
1060301,1,0,0
113542,1,0,0
1004676,1,0,0
2469598,1,0,0
4288928,0,0,1
411225,1,0,0
1172253,0,1,0
2479353,1,0,0
2528827,0,0,0
125741,1,0,0
1239732,1,0,0
2309783,1,0,0
1129791,1,0,0
2981715,1,0,0
1318894,1,0,0
1128197,1,1,0
2369400,1,1,0
2458353,1,0,0
2551328,1,0,0
108717,1,0,0
1251613,0,0,1
2300773,1,0,0
2166278,1,0,1
1009924,1,1,1
1153009,1,0,0
139952,0,1,0
2254426,0,1,0
1181229,0,1,0
3180515,1,0,0
2485488,1,0,0
2654157,1,0,0
1071014,0,1,0
2291907,1,0,0
1223025,1,0,1
3827101,1,0,0
3013739,0,0,1
1305359,1,0,0
3181149,1,0,0
3940831,1,0,0
2038281,1,0,0
1306460,1,1,1
1070023,1,0,0
22126,1,0,0
137319,1,0,0
4069314,1,0,0
1941593,1,0,0
134144,1,0,0
1094291,1,1,1
2618321,1,0,1
2475909,1,0,0
1144672,0,0,NA
2244630,1,0,1
1985811,1,0,0
2491408,1,0,0
2380638,1,1,1
1107873,0,1,0
1011385,1,0,0
1122325,0,1,0
1144149,1,1,0
4623095,1,0,0
1312263,1,0,1
2331401,1,1,0
1326100,1,0,1
1011883,1,0,1
1056715,1,0,0
1049999,1,0,0
4551482,1,0,0
2540280,1,0,0
1200199,1,0,1
2188335,1,0,0
3957248,1,0,0
3983713,1,1,0
2326219,1,0,0
2492650,1,0,0
3011398,1,0,0
1384125,1,0,0
2047926,1,0,0
252989,0,1,0
1065449,1,0,0
108123,1,1,0
1482824,1,0,0
1465388,1,0,0
236625,1,1,0
3882740,1,0,0
248002,1,0,0
1004481,1,1,0
1319563,0,1,0
1221777,1,0,0
1023133,1,0,0
4063303,1,1,0
226107,1,0,0
4005234,1,0,1
2276654,1,0,0
1192076,1,0,0
2538212,1,0,0
2441714,1,0,0
3898610,1,0,0
1183072,1,0,1
3845085,1,0,0
4082479,1,0,1
11819,1,0,0
3912640,1,0,0
2514893,1,0,0
1286388,1,0,0
3909383,1,0,1
38618,0,1,0
2452941,0,1,0
1823074,1,1,1
1005899,1,0,0
2053755,1,0,0
2181061,1,0,0
2839249,1,0,0
2164117,1,0,0
1014442,1,0,1
1434496,1,0,1
2305716,1,0,0
3898790,1,0,0
1392262,1,0,1
1229265,1,0,0
1367853,1,0,0
2381495,1,0,0
1086839,1,1,0
2210190,1,0,0
1172189,1,0,0
1320857,1,0,0
2302723,1,0,1
1462093,1,0,0
1378324,1,0,0
4603551,1,0,0
2306980,1,0,0
1394281,1,0,0
1174818,1,0,1
3989702,1,0,0
2564051,1,0,0
1209993,1,0,0
2617886,1,0,0
2383096,1,0,1
3797925,1,1,0
2246544,1,0,0
3826800,1,0,0
1093067,1,0,0
2966837,1,0,0
105457,1,0,0
1103619,1,0,1
114696,1,0,0
1044444,1,0,0
1406526,1,0,0
4072206,1,0,0
1177585,1,0,0
3173528,1,0,0
3996472,1,0,0
3777087,1,0,0
2469419,1,0,0
1184235,1,0,0
1344105,1,0,1
3977707,1,0,1
3997842,1,0,0
1237158,1,0,0
1815833,1,0,0
115599,1,0,0
2468862,1,0,0
1161389,1,0,0
2268589,0,1,0
2068044,1,0,0
1086788,1,0,0
1174469,0,1,0
2210261,1,0,0
1289409,0,0,NA
118706,0,1,0
2338563,0,0,1
3064884,1,0,0
2503041,1,0,1
4127646,1,0,0
2923741,1,0,1
2180966,1,1,1
1168205,1,0,0
1334261,1,0,0
101171,1,0,1
2205729,1,0,0
1273497,1,0,1
1160147,1,0,0
1151498,1,0,0
1534341,0,1,0
2547935,1,0,0
3896198,1,0,0
453191,1,0,0
4106055,1,0,0
1218426,1,0,0
4536550,1,0,0
2343586,1,0,0
2413384,1,0,0
3827356,1,0,0
4062714,1,0,1
2483147,1,0,0
124351,1,0,0
1008599,1,0,0
1445638,0,1,0
1350097,1,0,0
2444640,1,1,1
3945430,1,0,0
2182659,1,0,0
2152146,0,0,1
1296806,0,0,NA
2621684,1,0,0
1029048,0,1,0
3821996,1,0,0
1987085,1,0,0
214293,1,0,0
3852871,1,0,0
3935810,1,0,0
1054817,0,0,1
1136939,1,0,0
2587237,1,0,0
3963989,1,0,0
1020630,1,0,0
1333597,0,0,1
178298,1,1,1
3034200,1,0,0
1119671,1,0,0
1236264,1,0,0
1230336,1,0,0
1005440,1,0,0
1357803,1,0,0
1541046,1,0,1
169242,1,0,0
110071,0,0,1
2986978,1,0,0
2008673,1,0,0
1074708,1,0,0
4026613,1,0,0
384366,1,1,0
2477823,1,0,0
4004539,0,0,1
1174212,1,0,0
1546348,1,0,0
1075057,1,0,0
3093192,1,0,0
3214673,1,0,0
1068536,1,0,1
133436,1,0,0
1221062,0,1,0
3781844,1,0,0
2283588,1,0,0
1894712,0,0,NA
3989780,1,1,0
2196593,1,0,0
3207846,1,0,0
1220272,1,0,0
1203092,1,0,1
1174842,1,0,0
1102049,1,1,1
2165649,1,0,0
1470100,1,0,1
4551422,1,0,0
2480783,1,0,0
1378781,1,0,0
2219276,1,0,0
1253824,0,0,1
1427562,0,1,0
4160930,1,0,0
1655138,1,0,0
2497839,1,0,0
2013929,1,0,0
2301584,1,0,0
1207502,1,0,0
4134413,1,0,1
1525876,1,0,0
1090063,1,0,0
2325414,1,0,0
1249227,1,0,0
2283600,1,0,0
1020452,0,0,1
1256286,1,0,0
1003304,1,0,0
2316411,1,0,1
1221331,1,0,1
2300571,1,0,0
212141,0,1,0
2481118,1,0,0
3973490,1,0,0
4009713,1,1,0
2373263,1,0,0
1349701,1,0,0
1459890,0,1,0
1331916,1,0,0
4069240,1,0,0
